NanoDrop Data Export
Date: 2024-07-07
User: Lab Technician
Instrument: NanoDrop One

Sample ID,Concentration,A260,A280,A230,A260/A280,A260/A230,Sample Type
IVT-001,1452.0,2.904,1.523,1.452,1.91,2.00,RNA
IVT-002,895.0,1.790,0.995,0.895,1.80,2.00,RNA
IVT-003,2347.0,4.694,2.347,2.094,2.00,2.24,RNA
IVT-004,673.0,1.346,0.898,0.673,1.50,2.00,RNA
IVT-005,1568.0,3.136,1.725,1.568,1.82,2.00,RNA
IVT-006,2984.0,5.968,2.984,2.687,2.00,2.22,RNA
IVT-007,789.0,1.578,1.052,0.789,1.50,2.00,RNA
IVT-008,1893.0,3.786,1.893,1.704,2.00,2.22,RNA
IVT-009,3456.0,6.912,3.456,3.110,2.00,2.22,RNA
IVT-010,1247.0,2.494,1.372,1.247,1.82,2.00,RNA
